,Station,GTPName,DT,Year,Month,Day,Hour,TG,RSV_volume,RD_volume,RSV_Price,AVG_Price
0,Грозненская ТЭС               ,GCHECHE1,2020-02-01 00:00:00,2020,2,1,0,0.0,0.0,2.358,0.0,1353.2506
1,Адлерская ТЭС                 ,GADLERT2,2020-02-01 01:00:00,2020,2,1,1,0.0,0.0,12.287,0.0,1131.3146
2,Адлерская ТЭС                 ,GADLERT1,2020-02-01 02:00:00,2020,2,1,2,183.0,165.97,17.03,1083.077,1083.07699
3,Красноярская ГРЭС-2           ,GKRASGR2,2020-02-01 02:00:00,2020,2,1,2,136.0,64.416,71.584,776.7446,776.74456
4,Красноярская ГРЭС-2           ,GKRASGR1,2020-02-01 03:00:00,2020,2,1,3,364.0,171.878,192.122,779.96812,779.96813
5,Череповецкая ГРЭС             ,GVOLOGE1,2020-02-01 04:00:00,2020,2,1,4,0.0,0.0,7.531,0.0,856.4002
6,Череповецкая ГРЭС             ,GVOLOG10,2020-02-01 05:00:00,2020,2,1,5,232.5,202.81,29.69,889.02682,877.67475
7,Сургутская ГРЭС-1             ,GTUMENE2,2020-02-01 06:00:00,2020,2,1,6,1398.0,1037.424,360.576,862.413,862.413
8,Сургутская ГРЭС-1             ,GTUMENE1,2020-02-01 07:00:00,2020,2,1,7,827.75,614.256,213.494,871.33101,871.33102
9,Троицкая ГРЭС                 ,GTROIGR4,2020-02-01 08:00:00,2020,2,1,8,0.0,0.0,21.235,0.0,1039.3893
10,Троицкая ГРЭС                 ,GTROIGR3,2020-02-01 09:00:00,2020,2,1,9,0.0,0.0,0.0,0.0,1111.7916
11,Троицкая ГРЭС                 ,GTROIGR1,2020-02-01 10:00:00,2020,2,1,10,35.0,35.0,0.0,1108.58857,1108.58857
12,Серовская ГРЭС                ,GSVERD30,2020-02-01 11:00:00,2020,2,1,11,427.68,359.807,67.873,1033.09071,1033.0907
13,Ставропольская ГРЭС           ,GSTAGRE6,2020-02-01 12:00:00,2020,2,1,12,0.0,0.0,0.0,0.0,1684.5615
14,Ставропольская ГРЭС           ,GSTAGRE5,2020-02-01 13:00:00,2020,2,1,13,165.0,108.178,56.822,1692.99183,1681.07782
15,Ставропольская ГРЭС           ,GSTAGRE4,2020-02-01 14:00:00,2020,2,1,14,155.0,98.178,56.822,1685.39561,1670.31871
16,Ставропольская ГРЭС           ,GSTAGRE2,2020-02-01 15:00:00,2020,2,1,15,280.0,158.388,121.612,1664.77801,1664.778
17,Ставропольская ГРЭС           ,GSTAGRE1,2020-02-01 16:00:00,2020,2,1,16,140.0,79.393,60.607,1651.55266,1651.55257
18,Рязанская ГРЭС                ,GRYAZGR4,2020-02-01 17:00:00,2020,2,1,17,0.0,0.0,10.222,0.0,1475.4612
19,Рязанская ГРЭС                ,GRYAZGR3,2020-02-01 18:00:00,2020,2,1,18,0.0,0.0,33.092,0.0,1535.7244
20,Рязанская ГРЭС                ,GRYAZGR2,2020-02-01 19:00:00,2020,2,1,19,0.0,0.0,41.527,0.0,1480.9294
21,Рязанская ГРЭС                ,GRYAZGR1,2020-02-01 20:00:00,2020,2,1,20,0.0,0.0,127.773,0.0,1446.8058
22,Псковская ГРЭС                ,GPSKOGR2,2020-02-01 21:00:00,2020,2,1,21,0.0,0.0,3.24,0.0,1291.0944
23,Псковская ГРЭС                ,GPSKOGR1,2020-02-01 22:00:00,2020,2,1,22,0.0,0.0,0.878,0.0,1016.61676
24,Новочеркасская ГРЭС           ,GNCHEGRE,2020-02-01 23:00:00,2020,2,1,23,450.0,417.097,32.903,1115.82651,1115.82651
25,Новочеркасская ГРЭС           ,GNCHEGR3,2020-02-02 00:00:00,2020,2,2,0,450.0,387.635,62.365,1119.49499,1119.495
26,Новочеркасская ГРЭС           ,GNCHEGR1,2020-02-02 01:00:00,2020,2,2,1,0.0,0.0,0.0,0.0,1032.5085
27,ГРЭС-24                       ,GMOSEN29,2020-02-02 02:00:00,2020,2,2,2,0.0,0.0,5.865,0.0,902.2897
28,Киришская ГРЭС                ,GKIRITES,2020-02-02 03:00:00,2020,2,2,3,175.0,147.508,27.492,782.61477,782.61474
29,Киришская ГРЭС                ,GKIRGRES,2020-02-02 04:00:00,2020,2,2,4,0.0,0.0,0.0,0.0,788.5001
30,Киришская ГРЭС                ,GKIRGRE5,2020-02-02 05:00:00,2020,2,2,5,0.0,0.0,0.24,0.0,815.02246
31,Киришская ГРЭС                ,GKIRGR02,2020-02-02 06:00:00,2020,2,2,6,385.183,272.351,112.832,849.78935,849.78937
32,Грозненская ТЭС               ,GCHECHE2,2020-02-02 07:00:00,2020,2,2,7,81.0,75.254,5.746,1251.08087,1251.08086
33,Грозненская ТЭС               ,GCHECHE1,2020-02-02 08:00:00,2020,2,2,8,79.0,72.963,6.037,1419.09146,1419.09139
34,Адлерская ТЭС                 ,GADLERT2,2020-02-02 09:00:00,2020,2,2,9,0.0,0.0,31.232,0.0,1750.8086
35,Адлерская ТЭС                 ,GADLERT1,2020-02-02 10:00:00,2020,2,2,10,183.0,164.019,18.981,1792.60439,1792.60443
36,Красноярская ГРЭС-2           ,GKRASGR2,2020-02-02 10:00:00,2020,2,2,10,136.0,77.467,58.533,822.30821,822.30816
37,Красноярская ГРЭС-2           ,GKRASGR1,2020-02-02 11:00:00,2020,2,2,11,364.0,207.338,156.662,824.33514,824.33514
38,Череповецкая ГРЭС             ,GVOLOGE1,2020-02-02 12:00:00,2020,2,2,12,0.0,0.0,19.304,0.0,1152.0288
39,Череповецкая ГРЭС             ,GVOLOG10,2020-02-02 13:00:00,2020,2,2,13,422.5,350.4,72.1,1154.86561,1154.86561
40,Сургутская ГРЭС-1             ,GTUMENE2,2020-02-02 14:00:00,2020,2,2,14,1398.0,1082.367,315.633,910.4152,910.4152
41,Сургутская ГРЭС-1             ,GTUMENE1,2020-02-02 15:00:00,2020,2,2,15,827.75,640.864,186.886,931.40983,931.40983
42,Троицкая ГРЭС                 ,GTROIGR4,2020-02-02 16:00:00,2020,2,2,16,0.0,0.0,21.235,0.0,1110.5917
43,Троицкая ГРЭС                 ,GTROIGR3,2020-02-02 17:00:00,2020,2,2,17,0.0,0.0,0.0,0.0,1133.028
44,Троицкая ГРЭС                 ,GTROIGR1,2020-02-02 18:00:00,2020,2,2,18,35.0,35.0,0.0,1122.16029,1122.16029
45,Серовская ГРЭС                ,GSVERD30,2020-02-02 19:00:00,2020,2,2,19,427.68,333.274,94.406,1034.48439,1034.4844
46,Ставропольская ГРЭС           ,GSTAGRE6,2020-02-02 20:00:00,2020,2,2,20,0.0,0.0,0.0,0.0,1726.1769
47,Ставропольская ГРЭС           ,GSTAGRE5,2020-02-02 21:00:00,2020,2,2,21,165.0,76.831,88.169,1696.04027,1678.82558
48,Ставропольская ГРЭС           ,GSTAGRE4,2020-02-02 22:00:00,2020,2,2,22,155.0,119.233,35.767,1646.1519,1628.47303
49,Ставропольская ГРЭС           ,GSTAGRE2,2020-02-02 23:00:00,2020,2,2,23,280.0,203.449,76.551,1229.76972,1229.76971
50,Ставропольская ГРЭС           ,GSTAGRE1,2020-02-03 00:00:00,2020,2,3,0,140.0,101.849,38.151,1183.829,1183.829
51,Рязанская ГРЭС                ,GRYAZGR4,2020-02-03 01:00:00,2020,2,3,1,0.0,0.0,3.992,0.0,962.86536
52,Рязанская ГРЭС                ,GRYAZGR3,2020-02-03 02:00:00,2020,2,3,2,0.0,0.0,6.364,0.0,956.813
53,Рязанская ГРЭС                ,GRYAZGR2,2020-02-03 03:00:00,2020,2,3,3,0.0,0.0,7.985,0.0,941.31744
54,Рязанская ГРЭС                ,GRYAZGR1,2020-02-03 04:00:00,2020,2,3,4,0.0,0.0,24.573,0.0,953.7359
55,Псковская ГРЭС                ,GPSKOGR2,2020-02-03 05:00:00,2020,2,3,5,0.0,0.0,0.879,0.0,974.3392
56,Псковская ГРЭС                ,GPSKOGR1,2020-02-03 06:00:00,2020,2,3,6,0.0,0.0,2.088,0.0,1144.8384
57,Новочеркасская ГРЭС           ,GNCHEGRE,2020-02-03 07:00:00,2020,2,3,7,450.0,344.711,105.289,1553.9429,1553.94291
58,Новочеркасская ГРЭС           ,GNCHEGR3,2020-02-03 08:00:00,2020,2,3,8,450.0,290.345,159.655,1610.70261,1610.7026
59,Новочеркасская ГРЭС           ,GNCHEGR1,2020-02-03 09:00:00,2020,2,3,9,0.0,0.0,0.0,0.0,1682.8049
60,ГРЭС-24                       ,GMOSEN29,2020-02-03 10:00:00,2020,2,3,10,0.0,0.0,15.016,0.0,1653.0149
61,Киришская ГРЭС                ,GKIRITES,2020-02-03 11:00:00,2020,2,3,11,175.0,148.219,26.781,1390.05553,1390.05549
62,Киришская ГРЭС                ,GKIRGRES,2020-02-03 12:00:00,2020,2,3,12,0.0,0.0,0.0,0.0,1360.4015
